"sample_id","cell_type","technology"
"human3_lib3.final_cell_0311","endothelial","inDrop3"
"human3_lib3.final_cell_0313","beta","inDrop3"
"human3_lib3.final_cell_0318","delta","inDrop3"
"human3_lib3.final_cell_0322","ductal","inDrop3"
"human3_lib3.final_cell_0324","macrophage","inDrop3"
"human3_lib3.final_cell_0329","ductal","inDrop3"
"human3_lib3.final_cell_0339","acinar","inDrop3"
"human3_lib3.final_cell_0344","alpha","inDrop3"
"human3_lib3.final_cell_0345","delta","inDrop3"
"human3_lib3.final_cell_0349","beta","inDrop3"
"human3_lib3.final_cell_0355","acinar","inDrop3"
"human3_lib3.final_cell_0366","ductal","inDrop3"
"human3_lib3.final_cell_0371","beta","inDrop3"
"human3_lib3.final_cell_0375","endothelial","inDrop3"
"human3_lib3.final_cell_0379","delta","inDrop3"
"human3_lib3.final_cell_0381","delta","inDrop3"
"human3_lib3.final_cell_0394","alpha","inDrop3"
"human3_lib3.final_cell_0402","ductal","inDrop3"
"human3_lib3.final_cell_0408","beta","inDrop3"
"human3_lib3.final_cell_0413","macrophage","inDrop3"
"human3_lib3.final_cell_0415","acinar","inDrop3"
"human3_lib3.final_cell_0423","alpha","inDrop3"
"human3_lib3.final_cell_0426","alpha","inDrop3"
"human3_lib3.final_cell_0433","endothelial","inDrop3"
"human3_lib3.final_cell_0438","endothelial","inDrop3"
"human3_lib3.final_cell_0442","activated_stellate","inDrop3"
"human3_lib3.final_cell_0445","beta","inDrop3"
"human3_lib3.final_cell_0447","endothelial","inDrop3"
"human3_lib3.final_cell_0449","ductal","inDrop3"
"human3_lib3.final_cell_0450","delta","inDrop3"
"human3_lib3.final_cell_0478","acinar","inDrop3"
"human3_lib3.final_cell_0484","gamma","inDrop3"
"human3_lib3.final_cell_0491","ductal","inDrop3"
"human3_lib3.final_cell_0493","beta","inDrop3"
"human3_lib3.final_cell_0498","alpha","inDrop3"
"human3_lib3.final_cell_0516","activated_stellate","inDrop3"
"human3_lib3.final_cell_0517","endothelial","inDrop3"
"human3_lib3.final_cell_0518","activated_stellate","inDrop3"
"human3_lib3.final_cell_0519","activated_stellate","inDrop3"
"human3_lib3.final_cell_0523","activated_stellate","inDrop3"
"human3_lib3.final_cell_0524","ductal","inDrop3"
"human3_lib3.final_cell_0526","alpha","inDrop3"
"human3_lib3.final_cell_0529","gamma","inDrop3"
"human3_lib3.final_cell_0530","activated_stellate","inDrop3"
"human3_lib3.final_cell_0537","acinar","inDrop3"
"human3_lib3.final_cell_0540","ductal","inDrop3"
"human3_lib3.final_cell_0542","beta","inDrop3"
"human3_lib3.final_cell_0554","activated_stellate","inDrop3"
"human3_lib3.final_cell_0558","ductal","inDrop3"
"human3_lib3.final_cell_0562","gamma","inDrop3"
"human3_lib3.final_cell_0563","delta","inDrop3"
"human3_lib3.final_cell_0564","activated_stellate","inDrop3"
"human3_lib3.final_cell_0572","delta","inDrop3"
"human3_lib3.final_cell_0580","alpha","inDrop3"
"human3_lib3.final_cell_0581","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0584","delta","inDrop3"
"human3_lib3.final_cell_0586","acinar","inDrop3"
"human3_lib3.final_cell_0596","endothelial","inDrop3"
"human3_lib3.final_cell_0598","alpha","inDrop3"
"human3_lib3.final_cell_0608","activated_stellate","inDrop3"
"human3_lib3.final_cell_0612","alpha","inDrop3"
"human3_lib3.final_cell_0614","gamma","inDrop3"
"human3_lib3.final_cell_0616","alpha","inDrop3"
"human3_lib3.final_cell_0621","epsilon","inDrop3"
"human3_lib3.final_cell_0625","delta","inDrop3"
"human3_lib3.final_cell_0627","alpha","inDrop3"
"human3_lib3.final_cell_0634","beta","inDrop3"
"human3_lib3.final_cell_0639","endothelial","inDrop3"
"human3_lib3.final_cell_0640","ductal","inDrop3"
"human3_lib3.final_cell_0641","acinar","inDrop3"
"human3_lib3.final_cell_0646","acinar","inDrop3"
"human3_lib3.final_cell_0649","activated_stellate","inDrop3"
"human3_lib3.final_cell_0656","beta","inDrop3"
"human3_lib3.final_cell_0664","acinar","inDrop3"
"human3_lib3.final_cell_0666","alpha","inDrop3"
"human3_lib3.final_cell_0669","activated_stellate","inDrop3"
"human3_lib3.final_cell_0675","beta","inDrop3"
"human3_lib3.final_cell_0681","gamma","inDrop3"
"human3_lib3.final_cell_0682","activated_stellate","inDrop3"
"human3_lib3.final_cell_0684","acinar","inDrop3"
"human3_lib3.final_cell_0687","beta","inDrop3"
"human3_lib3.final_cell_0695","activated_stellate","inDrop3"
"human3_lib3.final_cell_0700","beta","inDrop3"
"human3_lib3.final_cell_0702","activated_stellate","inDrop3"
"human3_lib3.final_cell_0705","ductal","inDrop3"
"human3_lib3.final_cell_0712","acinar","inDrop3"
"human3_lib3.final_cell_0720","alpha","inDrop3"
"human3_lib3.final_cell_0726","acinar","inDrop3"
"human3_lib3.final_cell_0734","activated_stellate","inDrop3"
"human3_lib3.final_cell_0737","alpha","inDrop3"
"human3_lib3.final_cell_0739","alpha","inDrop3"
"human3_lib3.final_cell_0741","beta","inDrop3"
"human3_lib3.final_cell_0744","endothelial","inDrop3"
"human3_lib3.final_cell_0745","acinar","inDrop3"
"human3_lib3.final_cell_0748","ductal","inDrop3"
"human3_lib3.final_cell_0753","macrophage","inDrop3"
"human3_lib3.final_cell_0757","alpha","inDrop3"
"human3_lib3.final_cell_0759","activated_stellate","inDrop3"
"human3_lib3.final_cell_0766","ductal","inDrop3"
"human3_lib3.final_cell_0774","endothelial","inDrop3"
"human3_lib3.final_cell_0776","beta","inDrop3"
"human3_lib3.final_cell_0781","delta","inDrop3"
"human3_lib3.final_cell_0787","ductal","inDrop3"
"human3_lib3.final_cell_0788","gamma","inDrop3"
"human3_lib3.final_cell_0799","alpha","inDrop3"
"human3_lib3.final_cell_0802","mast","inDrop3"
"human3_lib3.final_cell_0806","activated_stellate","inDrop3"
"human3_lib3.final_cell_0807","endothelial","inDrop3"
"human3_lib3.final_cell_0808","beta","inDrop3"
"human3_lib3.final_cell_0810","delta","inDrop3"
"human3_lib3.final_cell_0812","alpha","inDrop3"
"human3_lib3.final_cell_0816","endothelial","inDrop3"
"human3_lib3.final_cell_0819","mast","inDrop3"
"human3_lib3.final_cell_0822","endothelial","inDrop3"
"human3_lib3.final_cell_0830","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0835","endothelial","inDrop3"
"human3_lib3.final_cell_0841","endothelial","inDrop3"
"human3_lib3.final_cell_0855","macrophage","inDrop3"
"human3_lib3.final_cell_0856","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0859","ductal","inDrop3"
"human3_lib3.final_cell_0860","endothelial","inDrop3"
"human3_lib3.final_cell_0861","beta","inDrop3"
"human3_lib3.final_cell_0862","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0863","endothelial","inDrop3"
"human3_lib3.final_cell_0864","alpha","inDrop3"
"human3_lib3.final_cell_0865","alpha","inDrop3"
"human3_lib3.final_cell_0866","t_cell","inDrop3"
"human3_lib3.final_cell_0870","beta","inDrop3"
"human3_lib3.final_cell_0880","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0882","endothelial","inDrop3"
"human3_lib3.final_cell_0883","macrophage","inDrop3"
"human3_lib3.final_cell_0885","mast","inDrop3"
"human3_lib3.final_cell_0889","endothelial","inDrop3"
"human3_lib3.final_cell_0890","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0893","beta","inDrop3"
"human3_lib3.final_cell_0894","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0896","t_cell","inDrop3"
"human3_lib3.final_cell_0898","endothelial","inDrop3"
"human3_lib3.final_cell_0901","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0902","delta","inDrop3"
"human3_lib3.final_cell_0904","endothelial","inDrop3"
"human3_lib3.final_cell_0908","macrophage","inDrop3"
"human3_lib3.final_cell_0913","endothelial","inDrop3"
"human3_lib3.final_cell_0915","activated_stellate","inDrop3"
"human3_lib3.final_cell_0919","endothelial","inDrop3"
"human3_lib3.final_cell_0920","quiescent_stellate","inDrop3"
"human3_lib3.final_cell_0922","endothelial","inDrop3"
"human3_lib3.final_cell_0923","endothelial","inDrop3"
"human3_lib3.final_cell_0925","endothelial","inDrop3"
"human3_lib3.final_cell_0931","endothelial","inDrop3"
"human3_lib3.final_cell_0933","endothelial","inDrop3"
"human3_lib4.final_cell_0001","acinar","inDrop3"
"human3_lib4.final_cell_0005","acinar","inDrop3"
"human3_lib4.final_cell_0006","acinar","inDrop3"
"human3_lib4.final_cell_0008","acinar","inDrop3"
"human3_lib4.final_cell_0010","acinar","inDrop3"
"human3_lib4.final_cell_0011","acinar","inDrop3"
"human3_lib4.final_cell_0015","acinar","inDrop3"
"human3_lib4.final_cell_0017","acinar","inDrop3"
"human3_lib4.final_cell_0019","acinar","inDrop3"
"human3_lib4.final_cell_0020","acinar","inDrop3"
"human3_lib4.final_cell_0023","acinar","inDrop3"
"human3_lib4.final_cell_0026","acinar","inDrop3"
"human3_lib4.final_cell_0028","acinar","inDrop3"
"human3_lib4.final_cell_0033","acinar","inDrop3"
"human3_lib4.final_cell_0035","acinar","inDrop3"
"human3_lib4.final_cell_0046","acinar","inDrop3"
"human3_lib4.final_cell_0047","delta","inDrop3"
"human3_lib4.final_cell_0050","delta","inDrop3"
"human3_lib4.final_cell_0053","acinar","inDrop3"
"human3_lib4.final_cell_0056","acinar","inDrop3"
"human3_lib4.final_cell_0063","acinar","inDrop3"
"human3_lib4.final_cell_0064","acinar","inDrop3"
"human3_lib4.final_cell_0066","acinar","inDrop3"
"human3_lib4.final_cell_0067","delta","inDrop3"
"human3_lib4.final_cell_0069","acinar","inDrop3"
"human3_lib4.final_cell_0074","acinar","inDrop3"
"human3_lib4.final_cell_0077","acinar","inDrop3"
"human3_lib4.final_cell_0082","delta","inDrop3"
"human3_lib4.final_cell_0083","acinar","inDrop3"
"human3_lib4.final_cell_0086","acinar","inDrop3"
"human3_lib4.final_cell_0087","acinar","inDrop3"
"human3_lib4.final_cell_0088","acinar","inDrop3"
"human3_lib4.final_cell_0090","acinar","inDrop3"
"human3_lib4.final_cell_0099","delta","inDrop3"
"human3_lib4.final_cell_0101","acinar","inDrop3"
"human3_lib4.final_cell_0111","acinar","inDrop3"
"human3_lib4.final_cell_0113","acinar","inDrop3"
"human3_lib4.final_cell_0119","activated_stellate","inDrop3"
"human3_lib4.final_cell_0123","acinar","inDrop3"
"human3_lib4.final_cell_0141","beta","inDrop3"
"human3_lib4.final_cell_0146","acinar","inDrop3"
"human3_lib4.final_cell_0147","acinar","inDrop3"
"human3_lib4.final_cell_0149","acinar","inDrop3"
"human3_lib4.final_cell_0151","alpha","inDrop3"
"human3_lib4.final_cell_0165","acinar","inDrop3"
"human3_lib4.final_cell_0169","beta","inDrop3"
"human3_lib4.final_cell_0170","acinar","inDrop3"
"human3_lib4.final_cell_0176","acinar","inDrop3"
"human3_lib4.final_cell_0180","delta","inDrop3"
"human3_lib4.final_cell_0189","alpha","inDrop3"
"human3_lib4.final_cell_0190","acinar","inDrop3"
"human3_lib4.final_cell_0191","ductal","inDrop3"
"human3_lib4.final_cell_0192","delta","inDrop3"
"human3_lib4.final_cell_0197","acinar","inDrop3"
"human3_lib4.final_cell_0203","delta","inDrop3"
"human3_lib4.final_cell_0211","acinar","inDrop3"
"human3_lib4.final_cell_0212","delta","inDrop3"
"human3_lib4.final_cell_0220","gamma","inDrop3"
"human3_lib4.final_cell_0228","acinar","inDrop3"
"human3_lib4.final_cell_0229","beta","inDrop3"
"human3_lib4.final_cell_0230","delta","inDrop3"
"human3_lib4.final_cell_0237","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0242","acinar","inDrop3"
"human3_lib4.final_cell_0243","beta","inDrop3"
"human3_lib4.final_cell_0249","ductal","inDrop3"
"human3_lib4.final_cell_0255","activated_stellate","inDrop3"
"human3_lib4.final_cell_0257","beta","inDrop3"
"human3_lib4.final_cell_0259","alpha","inDrop3"
"human3_lib4.final_cell_0265","beta","inDrop3"
"human3_lib4.final_cell_0266","ductal","inDrop3"
"human3_lib4.final_cell_0278","delta","inDrop3"
"human3_lib4.final_cell_0282","beta","inDrop3"
"human3_lib4.final_cell_0283","epsilon","inDrop3"
"human3_lib4.final_cell_0289","beta","inDrop3"
"human3_lib4.final_cell_0291","beta","inDrop3"
"human3_lib4.final_cell_0303","activated_stellate","inDrop3"
"human3_lib4.final_cell_0308","beta","inDrop3"
"human3_lib4.final_cell_0314","ductal","inDrop3"
"human3_lib4.final_cell_0322","delta","inDrop3"
"human3_lib4.final_cell_0327","activated_stellate","inDrop3"
"human3_lib4.final_cell_0334","alpha","inDrop3"
"human3_lib4.final_cell_0338","alpha","inDrop3"
"human3_lib4.final_cell_0343","activated_stellate","inDrop3"
"human3_lib4.final_cell_0345","acinar","inDrop3"
"human3_lib4.final_cell_0351","alpha","inDrop3"
"human3_lib4.final_cell_0366","alpha","inDrop3"
"human3_lib4.final_cell_0367","alpha","inDrop3"
"human3_lib4.final_cell_0377","endothelial","inDrop3"
"human3_lib4.final_cell_0391","ductal","inDrop3"
"human3_lib4.final_cell_0393","endothelial","inDrop3"
"human3_lib4.final_cell_0394","ductal","inDrop3"
"human3_lib4.final_cell_0403","ductal","inDrop3"
"human3_lib4.final_cell_0406","acinar","inDrop3"
"human3_lib4.final_cell_0427","beta","inDrop3"
"human3_lib4.final_cell_0435","delta","inDrop3"
"human3_lib4.final_cell_0437","alpha","inDrop3"
"human3_lib4.final_cell_0447","ductal","inDrop3"
"human3_lib4.final_cell_0449","activated_stellate","inDrop3"
"human3_lib4.final_cell_0455","activated_stellate","inDrop3"
"human3_lib4.final_cell_0456","alpha","inDrop3"
"human3_lib4.final_cell_0457","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0466","acinar","inDrop3"
"human3_lib4.final_cell_0467","beta","inDrop3"
"human3_lib4.final_cell_0473","beta","inDrop3"
"human3_lib4.final_cell_0475","beta","inDrop3"
"human3_lib4.final_cell_0480","macrophage","inDrop3"
"human3_lib4.final_cell_0481","beta","inDrop3"
"human3_lib4.final_cell_0490","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0509","alpha","inDrop3"
"human3_lib4.final_cell_0512","acinar","inDrop3"
"human3_lib4.final_cell_0519","acinar","inDrop3"
"human3_lib4.final_cell_0520","ductal","inDrop3"
"human3_lib4.final_cell_0521","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0527","alpha","inDrop3"
"human3_lib4.final_cell_0530","activated_stellate","inDrop3"
"human3_lib4.final_cell_0531","delta","inDrop3"
"human3_lib4.final_cell_0536","activated_stellate","inDrop3"
"human3_lib4.final_cell_0540","ductal","inDrop3"
"human3_lib4.final_cell_0548","acinar","inDrop3"
"human3_lib4.final_cell_0550","endothelial","inDrop3"
"human3_lib4.final_cell_0552","activated_stellate","inDrop3"
"human3_lib4.final_cell_0556","alpha","inDrop3"
"human3_lib4.final_cell_0563","beta","inDrop3"
"human3_lib4.final_cell_0565","ductal","inDrop3"
"human3_lib4.final_cell_0568","gamma","inDrop3"
"human3_lib4.final_cell_0572","endothelial","inDrop3"
"human3_lib4.final_cell_0574","macrophage","inDrop3"
"human3_lib4.final_cell_0576","activated_stellate","inDrop3"
"human3_lib4.final_cell_0577","beta","inDrop3"
"human3_lib4.final_cell_0591","activated_stellate","inDrop3"
"human3_lib4.final_cell_0593","activated_stellate","inDrop3"
"human3_lib4.final_cell_0601","acinar","inDrop3"
"human3_lib4.final_cell_0603","endothelial","inDrop3"
"human3_lib4.final_cell_0610","acinar","inDrop3"
"human3_lib4.final_cell_0613","endothelial","inDrop3"
"human3_lib4.final_cell_0614","ductal","inDrop3"
"human3_lib4.final_cell_0615","acinar","inDrop3"
"human3_lib4.final_cell_0620","alpha","inDrop3"
"human3_lib4.final_cell_0639","alpha","inDrop3"
"human3_lib4.final_cell_0646","alpha","inDrop3"
"human3_lib4.final_cell_0647","acinar","inDrop3"
"human3_lib4.final_cell_0648","activated_stellate","inDrop3"
"human3_lib4.final_cell_0663","beta","inDrop3"
"human3_lib4.final_cell_0665","acinar","inDrop3"
"human3_lib4.final_cell_0670","ductal","inDrop3"
"human3_lib4.final_cell_0673","acinar","inDrop3"
"human3_lib4.final_cell_0675","activated_stellate","inDrop3"
"human3_lib4.final_cell_0676","alpha","inDrop3"
"human3_lib4.final_cell_0677","alpha","inDrop3"
"human3_lib4.final_cell_0684","activated_stellate","inDrop3"
"human3_lib4.final_cell_0691","beta","inDrop3"
"human3_lib4.final_cell_0692","delta","inDrop3"
"human3_lib4.final_cell_0695","ductal","inDrop3"
"human3_lib4.final_cell_0700","beta","inDrop3"
"human3_lib4.final_cell_0705","endothelial","inDrop3"
"human3_lib4.final_cell_0706","acinar","inDrop3"
"human3_lib4.final_cell_0710","ductal","inDrop3"
"human3_lib4.final_cell_0714","alpha","inDrop3"
"human3_lib4.final_cell_0718","ductal","inDrop3"
"human3_lib4.final_cell_0726","endothelial","inDrop3"
"human3_lib4.final_cell_0727","alpha","inDrop3"
"human3_lib4.final_cell_0728","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0730","delta","inDrop3"
"human3_lib4.final_cell_0737","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0741","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0746","acinar","inDrop3"
"human3_lib4.final_cell_0747","delta","inDrop3"
"human3_lib4.final_cell_0751","ductal","inDrop3"
"human3_lib4.final_cell_0753","endothelial","inDrop3"
"human3_lib4.final_cell_0757","ductal","inDrop3"
"human3_lib4.final_cell_0762","acinar","inDrop3"
"human3_lib4.final_cell_0769","delta","inDrop3"
"human3_lib4.final_cell_0774","ductal","inDrop3"
"human3_lib4.final_cell_0782","gamma","inDrop3"
"human3_lib4.final_cell_0785","gamma","inDrop3"
"human3_lib4.final_cell_0786","gamma","inDrop3"
"human3_lib4.final_cell_0788","beta","inDrop3"
"human3_lib4.final_cell_0793","acinar","inDrop3"
"human3_lib4.final_cell_0795","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0796","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0799","alpha","inDrop3"
"human3_lib4.final_cell_0807","alpha","inDrop3"
"human3_lib4.final_cell_0817","gamma","inDrop3"
"human3_lib4.final_cell_0818","endothelial","inDrop3"
"human3_lib4.final_cell_0819","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0828","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0831","alpha","inDrop3"
"human3_lib4.final_cell_0832","activated_stellate","inDrop3"
"human3_lib4.final_cell_0842","endothelial","inDrop3"
"human3_lib4.final_cell_0844","endothelial","inDrop3"
"human3_lib4.final_cell_0845","beta","inDrop3"
"human3_lib4.final_cell_0846","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0847","endothelial","inDrop3"
"human3_lib4.final_cell_0852","activated_stellate","inDrop3"
"human3_lib4.final_cell_0853","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0858","beta","inDrop3"
"human3_lib4.final_cell_0859","activated_stellate","inDrop3"
"human3_lib4.final_cell_0863","delta","inDrop3"
"human3_lib4.final_cell_0864","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0872","delta","inDrop3"
"human3_lib4.final_cell_0873","ductal","inDrop3"
"human3_lib4.final_cell_0876","endothelial","inDrop3"
"human3_lib4.final_cell_0878","beta","inDrop3"
"human3_lib4.final_cell_0883","schwann","inDrop3"
"human3_lib4.final_cell_0886","macrophage","inDrop3"
"human3_lib4.final_cell_0887","endothelial","inDrop3"
"human3_lib4.final_cell_0889","beta","inDrop3"
"human3_lib4.final_cell_0892","quiescent_stellate","inDrop3"
"human3_lib4.final_cell_0893","acinar","inDrop3"
